# Copyright © 2012, Stanford University. All rights reserved.
#
# Authors:
#    Jonathan R Karr, jkarr@stanford.edu
#    Jayodita C Sanghvi, jayodita@stanford.edu
#    Derek N Macklin, macklin@stanford.edu
#    Jared M Jacobs, jmjacobs@stanford.edu
#    Markus W Covert, mcovert@stanford.edu
#
# Affiliation:
#    Covert Lab
#    Department of Bioengineering
#    Stanford University
#    http://covertlab.stanford.edu
#
# The format of this file is defined at http://bioinformatics.ai.sri.com/ptools/flatfile-format.html.
#
# Species: Mycoplasma genitalium G37
# Database: MGEN243273cyc
# Version: 16.0
# File Name: gene-links.dat
# Date and time generated: March 29, 2012, 18:01:33
#
MG_001		dnaN	
MG_002		MG_002	
MG_003		gyrB	
MG_004		gyrA	
MG_005		serS	
MG_006		tmk	
MG_007		holB	
MG_008		mnmE	
MG_009		tatD	
MG_010		dnaE	
MG_011		MG_011	
MG_012		rimK	
MG_013		folD	
MG471		MG471	
MG472		MG472	
MG_014		mdlB	
MG_015		mdlB	
MG_018		hepA2	
MG_019		dnaJ	
MG_020		pepP	
MG_021		metG	
MG_022		rpoE	
MG_023		fba	
MG_024		ychF	
MG_025		trsB	
MG_026		efp	
MG_027		nusB	
MG_028		MG_028	
MG_029		MG_029	
MG_030		upp	
MG_031		polC	
MG_032		MG_032	
MG_033		glpF	
MG_034		tdk	
MG_035		hisS	
MG_036		aspS	
MG_037		pncB	
MG_038		glpK	
MG_039		gpsA	
MG_040		MG_040	
MG_041		ptsH	
MG_042		potA	
MG_043		potB	
MG_044		potC	
MG_045		potD	
MG_046		gcp	
MG_047		metK	
MG_048		ffh	
MG_049		deoD	
MG_050		deoC	
MG_051		pdp	
MG_052		cdd	
MG_053		pgm	
MG_054		nusG	
MG_055		secE	
MG_473		rpmG-2	
MG_474		MG_474	
MG_056		yraL	
MG_057		MG_057	
MG_058		prs	
MG_059		smpB	
MG_060		rfbV	
MG_061		uhpT	
MG475		MG475	
MG_062		fruA	
MG_063		fruK	
MG_064		MG_064	
MG_065		MG_065	
MG_066		tkt	
MG_067		MG_067	
MG_068		MG_068	
MG_069		ptsG	
MG_070		rpsB	
MG_071		mgtA	
MG_072		secA	
MG_073		uvrB	
MG_074		MG_074	
MG_075		MG_075	
MG_076		MG_076	
MG_077		oppB	
MG_078		oppC	
MG_079		oppD	
MG_080		oppF	
MG_081		rplK	
MG_082		rplA	
MG_083		pth	
MG_084		tilS	
MG_085		hprK	
MG_086		lgt	
MG_087		rpsL	
MG_088		rpsG	
MG_089		fusA	
MG_090		rpsF	
MG_091		MG_091	
MG_092		rpsR	
MG_093		rplI	
MG_094		dnaB	
MG_095		MG_095	
MG_096		MG_096	
MG_097		ung	
MG_098		MG_098	
MG_099		gatA	
MG_100		gatB	
MG_101		gntR	
MG_102		trxB	
MG_103		MG_103	
MG_476		secG	
MG_104		rnr	
MG_105		disA	
